Category: All categories

Time,linux: (Worldwide),django: (Worldwide)
2020-12-02T23,64,8
2020-12-03T00,65,8
2020-12-03T01,62,8
2020-12-03T02,61,8
2020-12-03T03,62,8
2020-12-03T04,61,8
2020-12-03T05,69,8
2020-12-03T06,73,8
2020-12-03T07,82,9
2020-12-03T08,76,9
2020-12-03T09,79,10
2020-12-03T10,81,10
2020-12-03T11,92,10
2020-12-03T12,96,10
2020-12-03T13,100,10
2020-12-03T14,98,10
2020-12-03T15,91,10
2020-12-03T16,83,9
2020-12-03T17,75,9
2020-12-03T18,74,8
2020-12-03T19,76,8
2020-12-03T20,74,8
2020-12-03T21,71,8
2020-12-03T22,67,8
2020-12-03T23,63,7
2020-12-04T00,61,8
2020-12-04T01,63,8
2020-12-04T02,63,8
2020-12-04T03,62,8
2020-12-04T04,64,8
2020-12-04T05,71,7
2020-12-04T06,75,8
2020-12-04T07,82,9
2020-12-04T08,75,9
2020-12-04T09,73,9
2020-12-04T10,76,10
2020-12-04T11,83,10
2020-12-04T12,90,9
2020-12-04T13,92,9
2020-12-04T14,89,10
2020-12-04T15,84,9
2020-12-04T16,71,8
2020-12-04T17,71,8
2020-12-04T18,70,8
2020-12-04T19,71,8
2020-12-04T20,70,7
2020-12-04T21,64,7
2020-12-04T22,62,7
2020-12-04T23,62,8
2020-12-05T00,62,8
2020-12-05T01,58,9
2020-12-05T02,60,9
2020-12-05T03,59,9
2020-12-05T04,57,8
2020-12-05T05,58,8
2020-12-05T06,52,7
2020-12-05T07,52,8
2020-12-05T08,52,8
2020-12-05T09,50,9
2020-12-05T10,50,8
2020-12-05T11,51,8
2020-12-05T12,49,7
2020-12-05T13,48,7
2020-12-05T14,51,7
2020-12-05T15,50,7
2020-12-05T16,51,7
2020-12-05T17,49,7
2020-12-05T18,49,7
2020-12-05T19,50,7
2020-12-05T20,49,7
2020-12-05T21,48,7
2020-12-05T22,49,7
2020-12-05T23,50,8
2020-12-06T00,48,8
2020-12-06T01,48,9
2020-12-06T02,46,9
2020-12-06T03,48,9
2020-12-06T04,48,9
2020-12-06T05,46,8
2020-12-06T06,43,9
2020-12-06T07,45,8
2020-12-06T08,49,8
2020-12-06T09,48,9
2020-12-06T10,45,8
2020-12-06T11,47,8
2020-12-06T12,46,7
2020-12-06T13,44,7
2020-12-06T14,45,7
2020-12-06T15,48,6
2020-12-06T16,48,7
2020-12-06T17,47,7
2020-12-06T18,50,7
2020-12-06T19,48,7
2020-12-06T20,49,7
2020-12-06T21,46,7
2020-12-06T22,49,7
2020-12-06T23,48,8
2020-12-07T00,46,8
2020-12-07T01,47,8
2020-12-07T02,46,9
2020-12-07T03,48,8
2020-12-07T04,51,8
2020-12-07T05,58,8
2020-12-07T06,66,9
2020-12-07T07,77,9
2020-12-07T08,70,9
2020-12-07T09,69,9
2020-12-07T10,76,9
2020-12-07T11,89,10
2020-12-07T12,88,10
2020-12-07T13,90,10
2020-12-07T14,88,10
2020-12-07T15,87,9
2020-12-07T16,76,9
2020-12-07T17,72,9
2020-12-07T18,72,8
2020-12-07T19,74,9
2020-12-07T20,70,8
2020-12-07T21,68,8
2020-12-07T22,64,8
2020-12-07T23,62,8
2020-12-08T00,62,8
2020-12-08T01,61,9
2020-12-08T02,62,9
2020-12-08T03,63,9
2020-12-08T04,60,9
2020-12-08T05,67,9
2020-12-08T06,75,9
2020-12-08T07,78,9
2020-12-08T08,76,10
2020-12-08T09,75,9
2020-12-08T10,77,10
2020-12-08T11,89,10
2020-12-08T12,89,10
2020-12-08T13,93,10
2020-12-08T14,92,10
2020-12-08T15,85,10
2020-12-08T16,77,9
2020-12-08T17,75,9
2020-12-08T18,74,8
2020-12-08T19,74,8
2020-12-08T20,72,9
2020-12-08T21,68,8
2020-12-08T22,63,8
2020-12-08T23,65,7
2020-12-09T00,60,8
2020-12-09T01,59,8
2020-12-09T02,59,8
2020-12-09T03,58,8
2020-12-09T04,59,8
2020-12-09T05,64,8
2020-12-09T06,69,9
2020-12-09T07,79,9
2020-12-09T08,74,9
2020-12-09T09,71,10
2020-12-09T10,79,9
2020-12-09T11,85,10
2020-12-09T12,91,10
2020-12-09T13,94,11
2020-12-09T14,94,11
2020-12-09T15,85,10
2020-12-09T16,75,9
2020-12-09T17,73,9
2020-12-09T18,75,9
2020-12-09T19,74,8
2020-12-09T20,73,8
2020-12-09T21,73,8
2020-12-09T22,81,10
